Quantity,Part Number,Priorities,Part Name,Description,Manufacturer,MPN,Who's responsible,Procurement Method,Lead Time (wk),MOQ,Fixed Cost (USD),Unit Cost (USD),Ext. Cost (USD),Notes
1,91290A230,,"M5, 14MM L Screw",,McMaster,,,,,,,,,
1,91290A319,,"M6, 14MM L Screw",,McMaster,,,,,,,,,
1,91290A321,,"M6, 16MM L Screw",,McMaster,,,,,,,,,
1,91290A323,,"M6, 18MM L Screw",,McMaster,,,,,,,,,
1,91290A326,,"M6, 20MM L Screw",,McMaster,,,,,,,,,
1,91290A330,,"M6, 25MM L Screw",,McMaster,,,,,,,,,
1,91290A348,,"M6, 70MM L Screw",,McMaster,,,,,,,,,
1,91290A448,,"M8, 50MM L Screw","Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M8 Thread, 50mm Length, 1.25mm Pitch",McMaster,,,,,,,,,
2,91290A466,,"M8, 90mm L Screw","Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M8 Thread, 90mm Length, 1.25mm Pitch",McMaster,,,,,,,,,
1,91290A534,,"M10, 55MM L Screw","Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M10 Thread, 60MM Length, 1.50MM, Pitch, Packs of 10",McMaster,,,,,,,,,
1,91290A540,,"M10, 65MM L Screw","Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M10 Thread, 65MM Length, 1.50MM, Pitch, Packs of 10",McMaster,,,,,,,,,
4,91290A562,,"M10, 180MM L Screw","Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M10 Thread, 180MM Length, 1.50MM, Pitch, Packs of 1",McMaster,,,,,,,,,
1,92461A200,,M5 x Nut flange,"Medium-Strength Steel Nylon-Insert Flange Locknut, Class 8, Zinc-Plated, M5 x 0.8 mm Thread",McMaster,,,,,,,,,
1,92461A300,,M6 x 1mm Nut flange,"High-Strength Steel Nylon-Insert Locknut, Class 10, Zinc-Plated, M6 x 1 mm Thread",McMaster,,,,,,,,,
2,94645A210,,M8 x 1.25 mm Nut,"High-Strength Steel Nylon-Insert Locknut, Class 10, Zinc-Plated, M8 x 1.25 mm Thread",McMaster,,,,,,,,,
1,92461A400,,M8 x 1.25 mm Nut flange,"Medium-Strength Steel Nylon-Insert Flange Locknut, Class 8, Zinc-Plated, M8 x 1.25 mm Thread",McMaster,,,,,,,,,
2,92461A500,,M10 x 1.5 mm flange nut,"High-Strength Steel Nylon-Insert Locknut, Class, 10, Zinc-Plated, M10 X 1.5 mm Thread, Packs of 25",McMaster,,,,,,,,,
1,90592A024 ,,M10 X 1.5 mm Nut,"Steel Hex Nut, Medium-Strength, Class 8, Packs of 100",McMaster,,,,,,,,,
1,91166A250,,M6 zinc washers,,McMaster,,,,,,,,,
1,91166A270,,M8 zinc washers,,McMaster,,,,,,,,,
1,91166A280,,M10 zinc washers,,McMaster,,,,,,,,,
1,5415K32,,"1/2"" Hose clamp",,McMaster,,,,,,,,,
1,91458A116,,Loctite blue,"Loctiteå¨ 243 Threadlocker, 1.69 oz.",McMaster,,,,,,,,,
1,7566A3,,Protective film,,McMaster,,,,,,,,,
1,91290A534,,M10 x 55mm length partial threaded,,McMaster,,,,,,,,,
1,91290A536,,M10 x 60mm length partial threaded,,McMaster,,,,,,,,,
1,59935K82,,M6 Rod End Male,"Metric Ball Joint Rod End, M6 x 1 RH Male Shank, 6mm Ball ID, 22mm Long Thread",McMaster,,,,,,,,,
1,59935K72,,M6 Rod End Female,"Metric Ball Joint Rod End, M6 x 1.0 RH Female Shank, 6mm Ball ID, 14mm Long Thread",McMaster,,,,,,,,,
1,91239A426,,"M8, 20MM","Class 10.9 Steel Button-Head Socket Cap Screw, M8 Size, 20 mm Length, 1.25 mm Pitch",McMaster,,,,,,,,,
1,91306A678,,"M8, 20MM Zinc","Zinc-Plated Alloy Steel Button-Head Cap Screw, M8 Size, 20 mm Long, 1.25 mm Pitch",McMaster,,,,,,,,,
1,96144A261,,M10 x30MM fine,,McMaster,,,,,,,,,
2,,,Rear Shocks,Podium RC,Fox,http://www.ridefox.com/2016/product.php?m=moto&t=shocks&p=3344,,,,,,,,
1,,,Seat,R6,Yamaha,,,,,,,,,
1,,,Tank,ebay,Ducati,,,,,,,,,
1,,,S2R foot peg set,Ebay,Ducati,,,,,,,,,
1,,,front suspension,Donor bike,Ducati,,,,,,,,,
1,MC-1500-12-SS,,Exhaust,http://www.coneeng.com/,Cone Engineering,,,,,,,,,
1,,,Controls,Donor bike,Ducati,,,,,,,,,
1,,,Tail light,Donor bike,Ducati,,,,,,,,,
IoT sensors + kit,,,,,,,,,,,,,,
1,,,Intel Edison Kit for Arduino,,,https://www.amazon.com/Intel-Arduino-Storage-Bluetooth-Enabled/dp/B00O9PMEHY/ref=sr_1_1,,,,,,,,
1,,,Seeedstudio Grove for Arduino - Starter Kit V3,"These are the Grove sensors and actuators - button, led, light accelerometer, etc.",,https://www.amazon.com/Seeedstudio-Grove-Arduino-Starter-Kit/dp/B00NCF251C/ref=sr_1_2,,,,,,,,
